50,C2,FALSE,D0 Untreated Rep 1,Target3,UNKNOWN,SYBR,None,1,0.908,1.102,30.98,30.834,0.131,,12.362,0.14,0,TRUE,0.249,TRUE,3,25,,,1.394,N,79.012,,,N
51,C3,FALSE,D0 Untreated Rep 1,Target3,UNKNOWN,SYBR,None,1,0.908,1.102,30.797,30.834,0.131,,12.362,0.14,0,TRUE,0.249,TRUE,3,25,,,1.397,N,79.012,,,N
52,C4,FALSE,D0 Untreated Rep 2,Target3,UNKNOWN,SYBR,None,0.917,0.797,1.056,31.32,31.088,0.201,,12.487,0.203,0.125,TRUE,0.249,TRUE,3,25,,,1.409,N,79.141,,,N
53,C5,FALSE,D0 Untreated Rep 2,Target3,UNKNOWN,SYBR,None,0.917,0.797,1.056,30.978,31.088,0.201,,12.487,0.203,0.125,TRUE,0.249,TRUE,3,25,,,1.405,N,79.269,,,N
54,C6,FALSE,D0 Untreated Rep 2,Target3,UNKNOWN,SYBR,None,0.917,0.797,1.056,30.965,31.088,0.201,,12.487,0.203,0.125,TRUE,0.249,TRUE,3,25,,,1.4,N,79.269,,,N
55,C7,FALSE,1d Condition A Rep 1,Target3,UNKNOWN,SYBR,None,1.284,0.826,1.995,30.58,30.937,0.634,,12.001,0.636,-0.361,TRUE,0.249,TRUE,3,25,,,1.405,Y,79.141,,,N
56,C8,FALSE,1d Condition A Rep 1,Target3,UNKNOWN,SYBR,None,1.284,0.826,1.995,30.562,30.937,0.634,,12.001,0.636,-0.361,TRUE,0.249,TRUE,3,25,,,1.408,Y,79.397,,,N
57,C9,FALSE,1d Condition A Rep 1,Target3,UNKNOWN,SYBR,None,1.284,0.826,1.995,31.669,30.937,0.634,,12.001,0.636,-0.361,TRUE,0.249,TRUE,3,26,,,1.366,Y,78.499,,,Y
58,C10,FALSE,1d Condition A Rep 2,Target3,UNKNOWN,SYBR,None,1.83,0.956,3.503,30.753,30.562,0.166,,11.49,0.937,-0.872,TRUE,0.249,TRUE,3,25,,,1.405,N,79.397,,,N
59,C11,FALSE,1d Condition A Rep 2,Target3,UNKNOWN,SYBR,None,1.83,0.956,3.503,30.457,30.562,0.166,,11.49,0.937,-0.872,TRUE,0.249,TRUE,3,24,,,1.409,N,79.397,,,N
60,C12,FALSE,1d Condition A Rep 2,Target3,UNKNOWN,SYBR,None,1.83,0.956,3.503,30.476,30.562,0.166,,11.49,0.937,-0.872,TRUE,0.249,TRUE,3,25,,,1.408,N,79.397,,,N
61,C13,FALSE,1d Condition B Rep 1,Target3,UNKNOWN,SYBR,None,1.801,1.045,3.103,30.983,30.124,0.768,,11.513,0.785,-0.849,TRUE,0.249,TRUE,3,25,,,1.379,Y,78.884,,,N
62,C14,FALSE,1d Condition B Rep 1,Target3,UNKNOWN,SYBR,None,1.801,1.045,3.103,29.504,30.124,0.768,,11.513,0.785,-0.849,TRUE,0.249,TRUE,3,24,,,1.421,Y,79.91,,,N
63,C15,FALSE,1d Condition B Rep 1,Target3,UNKNOWN,SYBR,None,1.801,1.045,3.103,29.884,30.124,0.768,,11.513,0.785,-0.849,TRUE,0.249,TRUE,3,24,,,1.404,Y,79.397,,,N
64,C16,FALSE,1d Condition B Rep 2,Target3,UNKNOWN,SYBR,None,1.928,1.527,2.433,30.297,30.161,0.31,,11.415,0.336,-0.947,TRUE,0.249,TRUE,3,24,,,1.388,N,79.012,,,N
65,C17,FALSE,1d Condition B Rep 2,Target3,UNKNOWN,SYBR,None,1.928,1.527,2.433,29.806,30.161,0.31,,11.415,0.336,-0.947,TRUE,0.249,TRUE,3,24,,,1.418,N,79.91,,,N
66,C18,FALSE,1d Condition B Rep 2,Target3,UNKNOWN,SYBR,None,1.928,1.527,2.433,30.379,30.161,0.31,,11.415,0.336,-0.947,TRUE,0.249,TRUE,3,25,,,1.406,N,79.397,,,N
67,C19,FALSE,2d Condition A Rep 1,Target3,UNKNOWN,SYBR,None,1.599,1.015,2.517,30.412,30.486,0.158,,11.685,0.655,-0.677,TRUE,0.249,TRUE,3,25,,,1.407,N,79.397,,,N
68,C20,FALSE,2d Condition A Rep 1,Target3,UNKNOWN,SYBR,None,1.599,1.015,2.517,30.379,30.486,0.158,,11.685,0.655,-0.677,TRUE,0.249,TRUE,3,25,,,1.41,N,79.397,,,N
69,C21,FALSE,2d Condition A Rep 1,Target3,UNKNOWN,SYBR,None,1.599,1.015,2.517,30.668,30.486,0.158,,11.685,0.655,-0.677,TRUE,0.249,TRUE,3,25,,,1.4,N,79.269,,,N
70,C22,FALSE,2d Condition A Rep 2,Target3,UNKNOWN,SYBR,None,1.547,1.153,2.076,30.288,30.296,0.328,,11.732,0.424,-0.63,TRUE,0.249,TRUE,3,25,,,1.405,N,79.269,,,N
71,C23,FALSE,2d Condition A Rep 2,Target3,UNKNOWN,SYBR,None,1.547,1.153,2.076,29.972,30.296,0.328,,11.732,0.424,-0.63,TRUE,0.249,TRUE,3,24,,,1.394,N,79.269,,,N
72,C24,FALSE,2d Condition A Rep 2,Target3,UNKNOWN,SYBR,None,1.547,1.153,2.076,30.628,30.296,0.328,,11.732,0.424,-0.63,TRUE,0.249,TRUE,3,25,,,1.4,N,79.397,,,N
73,D1,FALSE,D0 Untreated Rep 1,Target4,UNKNOWN,SYBR,None,1,0.88,1.137,28.614,28.425,0.178,,9.953,0.185,0,TRUE,0.15,TRUE,3,24,,,1.394,N,73.626,,,N
74,D2,FALSE,D0 Untreated Rep 1,Target4,UNKNOWN,SYBR,None,1,0.88,1.137,28.26,28.425,0.178,,9.953,0.185,0,TRUE,0.15,TRUE,3,23,,,1.396,N,73.883,,,N
75,D3,FALSE,D0 Untreated Rep 1,Target4,UNKNOWN,SYBR,None,1,0.88,1.137,28.401,28.425,0.178,,9.953,0.185,0,TRUE,0.15,TRUE,3,23,,,1.4,N,73.754,,,N
76,D4,FALSE,D0 Untreated Rep 2,Target4,UNKNOWN,SYBR,None,1.017,0.972,1.065,28.598,28.529,0.061,,9.928,0.066,-0.025,TRUE,0.15,TRUE,3,24,,,1.403,N,73.883,,,N
77,D5,FALSE,D0 Untreated Rep 2,Target4,UNKNOWN,SYBR,None,1.017,0.972,1.065,28.509,28.529,0.061,,9.928,0.066,-0.025,TRUE,0.15,TRUE,3,24,,,1.405,N,74.011,,,N
78,D6,FALSE,D0 Untreated Rep 2,Target4,UNKNOWN,SYBR,None,1.017,0.972,1.065,28.481,28.529,0.061,,9.928,0.066,-0.025,TRUE,0.15,TRUE,3,23,,,1.399,N,74.011,,,N
79,D7,FALSE,1d Condition A Rep 1,Target4,UNKNOWN,SYBR,None,0.474,0.227,0.989,29.028,29.966,1.06,,11.03,1.061,1.078,TRUE,0.15,TRUE,3,24,,,1.423,Y,74.524,,,N
80,D8,FALSE,1d Condition A Rep 1,Target4,UNKNOWN,SYBR,None,0.474,0.227,0.989,31.116,29.966,1.06,,11.03,1.061,1.078,TRUE,0.15,TRUE,3,26,,,1.383,Y,73.498,,,N
81,D9,FALSE,1d Condition A Rep 1,Target4,UNKNOWN,SYBR,None,0.474,0.227,0.989,29.754,29.966,1.06,,11.03,1.061,1.078,TRUE,0.15,TRUE,3,25,,,1.419,Y,74.524,,,N
82,D10,FALSE,1d Condition A Rep 2,Target4,UNKNOWN,SYBR,None,0.703,0.344,1.44,29.81,29.533,0.468,,10.461,1.034,0.508,TRUE,0.15,TRUE,3,25,,,1.4,N,74.139,,,N
83,D11,FALSE,1d Condition A Rep 2,Target4,UNKNOWN,SYBR,None,0.703,0.344,1.44,29.796,29.533,0.468,,10.461,1.034,0.508,TRUE,0.15,TRUE,3,25,,,1.391,N,73.883,,,N
84,D12,FALSE,1d Condition A Rep 2,Target4,UNKNOWN,SYBR,None,0.703,0.344,1.44,28.992,29.533,0.468,,10.461,1.034,0.508,TRUE,0.15,TRUE,3,24,,,1.406,N,74.267,,,Y
85,D13,FALSE,1d Condition B Rep 1,Target4,UNKNOWN,SYBR,None,0.233,0.177,0.307,31.084,30.666,0.362,,12.056,0.397,2.103,TRUE,0.15,TRUE,3,26,,,1.407,N,74.139,,,N
86,D14,FALSE,1d Condition B Rep 1,Target4,UNKNOWN,SYBR,None,0.233,0.177,0.307,30.443,30.666,0.362,,12.056,0.397,2.103,TRUE,0.15,TRUE,3,25,,,1.402,N,74.139,,,N
87,D15,FALSE,1d Condition B Rep 1,Target4,UNKNOWN,SYBR,None,0.233,0.177,0.307,30.472,30.666,0.362,,12.056,0.397,2.103,TRUE,0.15,TRUE,3,26,,,1.391,N,73.883,,,N
88,D16,FALSE,1d Condition B Rep 2,Target4,UNKNOWN,SYBR,None,0.296,0.224,0.39,30.796,30.456,0.379,,11.71,0.401,1.758,TRUE,0.15,TRUE,3,26,,,1.392,N,73.883,,,N
89,D17,FALSE,1d Condition B Rep 2,Target4,UNKNOWN,SYBR,None,0.296,0.224,0.39,30.525,30.456,0.379,,11.71,0.401,1.758,TRUE,0.15,TRUE,3,25,,,1.396,N,73.883,,,N
90,D18,FALSE,1d Condition B Rep 2,Target4,UNKNOWN,SYBR,None,0.296,0.224,0.39,30.047,30.456,0.379,,11.71,0.401,1.758,TRUE,0.15,TRUE,3,25,,,1.417,N,74.652,,,N
91,D19,FALSE,2d Condition A Rep 1,Target4,UNKNOWN,SYBR,None,1.019,0.651,1.597,28.59,28.726,0.122,,9.925,0.647,-0.028,TRUE,0.15,TRUE,3,23,,,1.403,N,74.139,,,N
92,D20,FALSE,2d Condition A Rep 1,Target4,UNKNOWN,SYBR,None,1.019,0.651,1.597,28.764,28.726,0.122,,9.925,0.647,-0.028,TRUE,0.15,TRUE,3,24,,,1.4,N,74.011,,,N
93,D21,FALSE,2d Condition A Rep 1,Target4,UNKNOWN,SYBR,None,1.019,0.651,1.597,28.825,28.726,0.122,,9.925,0.647,-0.028,TRUE,0.15,TRUE,3,24,,,1.402,N,74.011,,,N
94,D22,FALSE,2d Condition A Rep 2,Target4,UNKNOWN,SYBR,None,0.716,0.569,0.901,29.193,28.999,0.193,,10.435,0.331,0.482,TRUE,0.15,TRUE,3,24,,,1.404,N,74.011,,,N
95,D23,FALSE,2d Condition A Rep 2,Target4,UNKNOWN,SYBR,None,0.716,0.569,0.901,28.997,28.999,0.193,,10.435,0.331,0.482,TRUE,0.15,TRUE,3,24,,,1.401,N,74.011,,,N
96,D24,FALSE,2d Condition A Rep 2,Target4,UNKNOWN,SYBR,None,0.716,0.569,0.901,28.806,28.999,0.193,,10.435,0.331,0.482,TRUE,0.15,TRUE,3,24,,,1.398,N,74.011,,,N
97,E1,FALSE,D0 Untreated Rep 1,Housekeeper,UNKNOWN,SYBR,None,,,,18.474,18.472,0.048,,,,,TRUE,0.35,TRUE,3,12,,,1.431,N,81.193,,,N
98,E2,FALSE,D0 Untreated Rep 1,Housekeeper,UNKNOWN,SYBR,None,,,,18.52,18.472,0.048,,,,,TRUE,0.35,TRUE,3,12,,,1.431,N,81.193,,,N
99,E3,FALSE,D0 Untreated Rep 1,Housekeeper,UNKNOWN,SYBR,None,,,,18.424,18.472,0.048,,,,,TRUE,0.35,TRUE,3,12,,,1.438,N,81.321,,,N
